time,amplitude
0.6418345259,1.0307103
1.1384806535,2.3217937322
1.3344580056,3.1107635479
1.4088797579,4.4173410931
1.9592422429,5.4812615472
1.8632207927,6.6987646087
2.662368787,7.6617525257
2.4360191929,8.9259196706
2.5035765232,9.8625521977
2.7873876928,10.7537512621
3.0810630992,11.6008999152
3.7991272714,12.6760708122
3.9871949237,13.2552588377
3.5377388564,14.7226655926
4.1549873524,15.9278847366
4.181709405,16.7968218783
5.208595037,17.8201900586
4.618615611,18.5430530426
5.6809536065,19.5274953688
5.9603941357,20.6401958494
5.258756916,21.3236149284
5.8389604585,22.921125703
6.7353674541,23.7749796514
6.8470453741,24.2389439773
6.8875318496,25.1344330669
7.4926952398,26.9685949488
7.4853329821,27.7918225112
7.6446657609,28.4725279058
7.297081349,29.6824046173
7.6951934989,30.4520687019
8.3602893543,31.3769029039
